model,freq,size_mb,storage,network,overhead_checkfreq_pct,overhead_sync_pct,sync_minus_cf_pp,cf_lt_sync
bert,10,500,nvme_std,network_8_balanced,4.73157,23.65772,18.92615,True
bert,10,1000,nvme_std,network_8_balanced,9.46302,47.31523,37.85221,True
bert,10,1500,nvme_std,network_8_balanced,14.19459,70.97295,56.77836,True
bert,10,2000,nvme_std,network_8_balanced,18.92616,94.63067,75.70451,True
bert,10,2500,nvme_std,network_8_balanced,23.65761,118.28818,94.63057,True
bert,10,3000,nvme_std,network_8_balanced,28.38918,141.9459,113.55672,True
bert,10,3500,nvme_std,network_8_balanced,33.12075,,,False
bert,10,4000,nvme_std,network_8_balanced,37.8522,189.26113,151.40893,True
bert,10,4500,nvme_std,network_8_balanced,42.58377,212.91885,170.33508,True
bert,10,5000,nvme_std,network_8_balanced,47.31534,236.57658,189.26124000000002,True
bert,20,500,nvme_std,network_8_balanced,2.36578,11.82886,9.463080000000001,True
bert,20,1000,nvme_std,network_8_balanced,4.73151,23.65761,18.926099999999998,True
bert,20,1500,nvme_std,network_8_balanced,7.0973,35.48648,28.38918,True
bert,20,2000,nvme_std,network_8_balanced,9.46308,47.31534,37.85226,True
bert,20,2500,nvme_std,network_8_balanced,11.82881,59.14409,47.31528,True
bert,20,3000,nvme_std,network_8_balanced,14.19459,70.97295,56.77836,True
bert,20,3500,nvme_std,network_8_balanced,16.56037,82.80181,66.24144000000001,True
bert,20,4000,nvme_std,network_8_balanced,18.9261,94.63057,75.70447,True
bert,20,4500,nvme_std,network_8_balanced,21.29189,106.45943,85.16754,True
bert,20,5000,nvme_std,network_8_balanced,23.65767,118.28829,94.63062000000001,True
bert,30,500,nvme_std,network_8_balanced,1.65605,8.2802,6.62415,True
bert,30,1000,nvme_std,network_8_balanced,3.31206,16.56033,13.248270000000002,True
bert,30,1500,nvme_std,network_8_balanced,4.96811,24.84053,19.87242,True
bert,30,2000,nvme_std,network_8_balanced,6.62415,33.12074,26.496589999999998,True
bert,30,2500,nvme_std,network_8_balanced,8.28017,41.40086,33.12069,True
bert,30,3000,nvme_std,network_8_balanced,9.93621,49.68107,39.744859999999996,True
bert,30,3500,nvme_std,network_8_balanced,11.59226,57.96127,46.36901,True
bert,30,4000,nvme_std,network_8_balanced,13.24827,66.2414,52.99313,True
bert,30,4500,nvme_std,network_8_balanced,14.90432,74.5216,59.61728000000001,True
bert,30,5000,nvme_std,network_8_balanced,16.56037,82.8018,66.24143000000001,True
bert,40,500,nvme_std,network_8_balanced,1.18289,5.91443,4.731540000000001,True
bert,40,1000,nvme_std,network_8_balanced,2.36576,11.82881,9.46305,True
bert,40,1500,nvme_std,network_8_balanced,3.54865,17.74324,14.19459,True
bert,40,2000,nvme_std,network_8_balanced,4.73154,23.65767,18.92613,True
bert,40,2500,nvme_std,network_8_balanced,5.9144,29.57204,23.65764,True
bert,40,3000,nvme_std,network_8_balanced,7.0973,35.48648,28.38918,True
bert,40,3500,nvme_std,network_8_balanced,8.28019,41.40091,33.120720000000006,True
bert,40,4000,nvme_std,network_8_balanced,9.46305,47.31528,37.85223,True
bert,40,4500,nvme_std,network_8_balanced,10.64594,53.22971,42.58377,True
bert,40,5000,nvme_std,network_8_balanced,11.82883,59.14414,47.31531,True
bert,50,500,nvme_std,network_8_balanced,0.94631,4.73154,3.78523,True
bert,50,1000,nvme_std,network_8_balanced,1.8926,9.46305,7.570450000000001,True
bert,50,1500,nvme_std,network_8_balanced,2.83892,14.19459,11.35567,True
bert,50,2000,nvme_std,network_8_balanced,3.78523,18.92613,15.1409,True
bert,50,2500,nvme_std,network_8_balanced,4.73152,23.65764,18.92612,True
bert,50,3000,nvme_std,network_8_balanced,5.67784,28.38918,22.71134,True
