tag,model,mode,freq,size_mb,storage,network,num_iterations,wall_time_cycles,gpu_time_cycles,comm_time_cycles,overlap_cycles,baseline_wall_time_cycles,overhead_pct,astra_returncode,sim_seconds,trace_key,workload
main,bert,baseline,25,2000,nvme_std,network_8_balanced,200,18467880800,153600,18467727200,0,18467880800,0.0,0,11.8,bert_base_200iter_4770be8574,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,10,500,nvme_std,network_8_balanced,200,19341700820,873973620,18467727200,0,18467880800,4.73157,0,11.99,bert_checkfreq_like_n10_sz500MB_nvme_std_200iter_19c85b7bfc,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,10,500,nvme_std,network_8_balanced,200,22836960800,4369233600,18467727200,0,18467880800,23.65772,0,12.33,bert_sync_n10_sz500MB_nvme_std_200iter_8b67537c01,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,10,2000,nvme_std,network_8_balanced,200,21963140820,3495413620,18467727200,0,18467880800,18.92616,0,11.39,bert_checkfreq_like_n10_sz2000MB_nvme_std_200iter_59bc835500,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,10,2000,nvme_std,network_8_balanced,200,35944160800,17476433600,18467727200,0,18467880800,94.63067,0,13.19,bert_sync_n10_sz2000MB_nvme_std_200iter_964f29a5fe,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,10,5000,nvme_std,network_8_balanced,200,27206020820,8738293620,18467727200,0,18467880800,47.31534,0,12.46,bert_checkfreq_like_n10_sz5000MB_nvme_std_200iter_397d333b41,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,10,5000,nvme_std,network_8_balanced,200,62158560800,43690833600,18467727200,0,18467880800,236.57658,0,12.6,bert_sync_n10_sz5000MB_nvme_std_200iter_629555d8d2,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,25,500,nvme_std,network_8_balanced,200,18817408808,349681608,18467727200,0,18467880800,1.89263,0,12.4,bert_checkfreq_like_n25_sz500MB_nvme_std_200iter_af9f37f95e,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,25,500,nvme_std,network_8_balanced,200,20215512800,1747785600,18467727200,0,18467880800,9.46309,0,11.51,bert_sync_n25_sz500MB_nvme_std_200iter_e3e40f7b99,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,25,2000,nvme_std,network_8_balanced,200,19865984808,1398257608,18467727200,0,18467880800,7.57046,0,11.43,bert_checkfreq_like_n25_sz2000MB_nvme_std_200iter_3722dd7d78,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,25,2000,nvme_std,network_8_balanced,200,25458392800,6990665600,18467727200,0,18467880800,37.85227,0,13.04,bert_sync_n25_sz2000MB_nvme_std_200iter_afe25b5ab8,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,25,5000,nvme_std,network_8_balanced,200,21963136808,3495409608,18467727200,0,18467880800,18.92613,0,13.08,bert_checkfreq_like_n25_sz5000MB_nvme_std_200iter_8b5ff2afc5,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,25,5000,nvme_std,network_8_balanced,200,35944152800,17476425600,18467727200,0,18467880800,94.63063,0,13.03,bert_sync_n25_sz5000MB_nvme_std_200iter_02d5b74256,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,50,500,nvme_std,network_8_balanced,200,18642644804,174917604,18467727200,0,18467880800,0.94631,0,13.85,bert_checkfreq_like_n50_sz500MB_nvme_std_200iter_340a9d4917,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,50,500,nvme_std,network_8_balanced,200,19341696800,873969600,18467727200,0,18467880800,4.73154,0,12.3,bert_sync_n50_sz500MB_nvme_std_200iter_eeed6afc87,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,50,2000,nvme_std,network_8_balanced,200,19166932804,699205604,18467727200,0,18467880800,3.78523,0,12.05,bert_checkfreq_like_n50_sz2000MB_nvme_std_200iter_bffdbc75b4,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,50,2000,nvme_std,network_8_balanced,200,21963136800,3495409600,18467727200,0,18467880800,18.92613,0,11.86,bert_sync_n50_sz2000MB_nvme_std_200iter_303711a217,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,50,5000,nvme_std,network_8_balanced,200,20215508804,1747781604,18467727200,0,18467880800,9.46307,0,12.13,bert_checkfreq_like_n50_sz5000MB_nvme_std_200iter_f30978584c,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,50,5000,nvme_std,network_8_balanced,200,27206016800,8738289600,18467727200,0,18467880800,47.31532,0,12.03,bert_sync_n50_sz5000MB_nvme_std_200iter_0213dd04f2,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,100,500,nvme_std,network_8_balanced,200,18555262802,87535602,18467727200,0,18467880800,0.47316,0,12.86,bert_checkfreq_like_n100_sz500MB_nvme_std_200iter_3afe03c7af,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,100,500,nvme_std,network_8_balanced,200,18904788800,437061600,18467727200,0,18467880800,2.36577,0,11.7,bert_sync_n100_sz500MB_nvme_std_200iter_9de5228d0d,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,100,2000,nvme_std,network_8_balanced,200,18817406802,349679602,18467727200,0,18467880800,1.89262,0,11.43,bert_checkfreq_like_n100_sz2000MB_nvme_std_200iter_dbfc0c083d,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,100,2000,nvme_std,network_8_balanced,200,20215508800,1747781600,18467727200,0,18467880800,9.46307,0,11.79,bert_sync_n100_sz2000MB_nvme_std_200iter_f4914cc74a,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,100,5000,nvme_std,network_8_balanced,200,19341694802,873967602,18467727200,0,18467880800,4.73153,0,13.04,bert_checkfreq_like_n100_sz5000MB_nvme_std_200iter_67d84163a9,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,100,5000,nvme_std,network_8_balanced,200,22836948800,4369221600,18467727200,0,18467880800,23.65766,0,12.72,bert_sync_n100_sz5000MB_nvme_std_200iter_5fe6ca78a4,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
