model,freq,size_mb,storage,network,overhead_checkfreq_pct,overhead_sync_pct,sync_minus_cf_pp,cf_lt_sync
bert,10,500,nvme_std,network_8_balanced,4.73157,23.65772,18.92615,True
bert,10,2000,nvme_std,network_8_balanced,18.92616,94.63067,75.70451,True
bert,10,5000,nvme_std,network_8_balanced,47.31534,236.57658,189.26124000000002,True
bert,25,500,nvme_std,network_8_balanced,1.89263,9.46309,7.570459999999999,True
bert,25,2000,nvme_fast,network_8_balanced,3.63381,16.61172,12.977909999999998,True
bert,25,2000,nvme_std,network_8_balanced,7.57046,37.85227,30.281809999999997,True
bert,25,2000,nvme_std,network_8_bw100,6.77779,33.88892,27.11113,True
bert,25,2000,nvme_std,network_8_fast,7.4908,37.45397,29.963169999999998,True
bert,25,2000,nvme_std,network_8_ring,7.15642,35.78206,28.62564,True
bert,25,2000,sata_slow,network_8_balanced,15.14088,196.83164,181.69075999999998,True
bert,25,5000,nvme_std,network_8_balanced,18.92613,94.63063,75.7045,True
bert,50,500,nvme_std,network_8_balanced,0.94631,4.73154,3.78523,True
bert,50,2000,nvme_std,network_8_balanced,3.78523,18.92613,15.1409,True
bert,50,5000,nvme_std,network_8_balanced,9.46307,47.31532,37.85225,True
bert,100,500,nvme_std,network_8_balanced,0.47316,2.36577,1.89261,True
bert,100,2000,nvme_std,network_8_balanced,1.89262,9.46307,7.57045,True
bert,100,5000,nvme_std,network_8_balanced,4.73153,23.65766,18.92613,True
gpt_medium,10,500,nvme_std,network_8_balanced,0.98885,4.9442,3.95535,True
gpt_medium,10,2000,nvme_std,network_8_balanced,3.95536,19.77677,15.821409999999998,True
gpt_medium,10,5000,nvme_std,network_8_balanced,9.88838,49.44189,39.55351,True
gpt_medium,25,500,nvme_std,network_8_balanced,0.39554,1.97768,1.58214,True
gpt_medium,25,2000,nvme_std,network_8_balanced,1.58214,7.91071,6.32857,True
gpt_medium,25,5000,nvme_std,network_8_balanced,3.95535,19.77676,15.82141,True
gpt_medium,50,500,nvme_std,network_8_balanced,0.19777,0.98884,0.79107,True
gpt_medium,50,2000,nvme_std,network_8_balanced,0.79107,3.95535,3.16428,True
gpt_medium,50,5000,nvme_std,network_8_balanced,1.97768,9.88838,7.910699999999999,True
gpt_medium,100,500,nvme_std,network_8_balanced,0.09888,0.49442,0.39554,True
gpt_medium,100,2000,nvme_std,network_8_balanced,0.39554,1.97768,1.58214,True
gpt_medium,100,5000,nvme_std,network_8_balanced,0.98884,4.94419,3.9553499999999997,True
gpt_small,10,500,nvme_std,network_8_balanced,7.75997,38.79966,31.039690000000004,True
gpt_small,10,2000,nvme_std,network_8_balanced,31.03969,155.19827,124.15858,True
gpt_small,10,5000,nvme_std,network_8_balanced,77.59914,387.9955,310.39635999999996,True
gpt_small,25,500,nvme_std,network_8_balanced,3.10399,15.51986,12.41587,True
gpt_small,25,2000,nvme_std,network_8_balanced,12.41588,62.07931,49.66343,True
gpt_small,25,5000,nvme_std,network_8_balanced,31.03965,155.1982,124.15855000000002,True
gpt_small,50,500,nvme_std,network_8_balanced,1.55199,7.75993,6.20794,True
gpt_small,50,2000,nvme_std,network_8_balanced,6.20794,31.03965,24.83171,True
gpt_small,50,5000,nvme_std,network_8_balanced,15.51983,77.5991,62.07927000000001,True
gpt_small,100,500,nvme_std,network_8_balanced,0.776,3.87997,3.1039700000000003,True
gpt_small,100,2000,nvme_std,network_8_balanced,3.10397,15.51983,12.41586,True
gpt_small,100,5000,nvme_std,network_8_balanced,7.75991,38.79955,31.039640000000006,True
